datetime,results,news_text,text
2022-06-13 18:15:32.126224,59152,"{2.275026559829712,1.9448786973953247,2.2071635723114014,2.520034074783325}",日銀は20日付で、松江支店長に長谷川圭輔・政策委員会室総務課長（48）を充てる人事を発表した。谷本英行支店長（54）は検査室検査役に異動する。...
2022-06-13 18:15:32.126224,59153,"{2.9268693923950195,1.8256351947784424,2.8706018924713135,3.2981159687042236}",住宅設備機器の延長保証事業を手がける。主力商品は給湯器やキッチン、家電製品などを修理するサービス「あんしん修理サポート」だ。ハウスメーカーや家電量販店が主要顧客で、業務受託料を徴収し、メーカーの保証期間を含めて最長10年間サポートする。中古住宅設備の保証も取り扱っているほか、鍵の紛失や水回りトラブルといった生活全般をサポートする事業も展開している。2022年9月期の単独売上高は前期比...
2022-06-13 18:15:32.126224,59154,"{3.443498134613037,1.6892368793487549,2.997925281524658,3.5503740310668945}",パーティー向けクラッカーなどを製造販売するカネコ（愛媛県宇和島市）が、煙の出にくいクラッカーでスポーツ市場の開拓に挑んでいる。福岡ソフトバンクホークスがホームゲームでの応援グッズとして採用し、バスケットボールの試合でも使われ始めた。新型コロナウイルス禍における声援に代わる新たな応援手法として売り込む。新商品「応援クラッカー」（500円）は、福岡ソフトバンクホークスの本拠地「福岡ペイペイドーム」...
2022-06-13 18:15:32.126224,59155,"{1.485708475112915,3.5791420936584473,3.509981870651245,1.7144328355789185}",国の新型コロナウイルス対策の持続化給付金を詐取したとして東京国税局の職員らが逮捕された事件で、警視庁少年事件課は13日、グループのリーダー格とみられ、アラブ首長国連邦（UAE）のドバイに出国していた住所・職業不詳、松江大樹容疑者（31）を詐欺容疑で逮捕した。同課によると、13日夕に成田空港に帰国した。「弁護士が来てから話します」と認否を留保しているという。松江容疑者らのグループは虚偽申請の名義人としてSNS（交流サイト）を通じて大学生らを募り、200人分に当たる計約2億円の不正受給に関与したとみられる。松江容疑者は今年2月ごろ、ドバイに出国し、警視庁が行方を追っていた。逮捕容疑は2020年8月、当時17歳の高校生=同容疑で書類送検=を新型コロナの影響で事業収入が減った個人事業主と偽り、持続化給付金100万円をだまし取った疑い。捜査関係者によると、不正に受給した給付金のうち8割は松江容疑者にわたり、暗号資産への
2022-06-13 18:15:32.126224,59156,"{2.5573606491088867,1.7536009550094604,2.588338613510132,2.660762310028076}",J2の東京Vは13日、堀孝史監督（54）が退任し、昨季途中までJ1広島を指揮した城福浩氏（61）が就任すると発表した。東京Vは21試合を終えて6勝8分け7敗の14位。最近7試合は未勝利だった。城福氏はJ1のFC東京をヤマザキナビスコ・カップ（現YBCルヴァン・カップ）優勝に導いたほか、甲府でJ2優勝の実績がある。東京Vを通じ「ヴェルディのサッカーをより進化させていくミッションに携わることができて光栄」とコメントした。〔共同〕
2022-06-13 18:15:32.126224,59157,"{1.850146770477295,2.501124620437622,2.830836534500122,2.0702245235443115}",東建コーポレーションは13日、2023年4月期の連結純利益を前期比20%減の82億円と見込んでいると発表した。建設事業や不動産賃貸を伸ばすが、建築資材の値上がりや営業担当者を増やすなど経費が増え最終減益となる見通し。売上高は6%増の3286億円、営業利益は19%減の122億円を見込む。建設では前期に受注が増えたため売上高が伸びるものの、ウクライナ危機などを背景に資材が値上がりしており完成工事利益率が下がる。不動産賃貸も管理物件数を増やす一方、経費が膨らみ事業利益は微減を見込む。同日発表した22年4月期の連結決算は、売上高が前の期比1%増の3115億円、純利益が2%増の102億円だった。世界の木材不足で価格が高騰する「ウッドショック」の影響などで建設事業の営業利益は25%減の84億円（全社費用除く）にとどまり、不動産賃貸では管理物件が増えて営業利益が20%増の138億円（同）と好調だった。
2022-06-13 18:15:32.126224,59158,"{2.168595790863037,2.7228407859802246,2.99886155128479,2.472273588180542}",13日の国内債券市場で長期金利の指標となる新発10年物国債利回りが一時0.255%と、日銀が上限として示す「0.25%程度」を上回った。日銀は0.25%の利回りで無制限に国債を購入しているのに、0.25%より高い金利（価格は低い）で取引が成立したことは、人為的に金利を抑え込む「ひずみ」の表れとみられている。上限超えの背景には「日銀がディーラーなどに国債を貸し出す国債補完供給（SLF）の利用制限...
2022-06-13 18:15:32.126224,59159,"{2.460728645324707,1.956971526145935,2.427222728729248,2.7919247150421143}",日銀は13日、鈴木俊一財務相が12日付でボストン・コンサルティング・グループ（BCG）日本共同代表の秋池玲子氏を同行の参与に任命したと発表した。
2022-06-13 18:15:32.126224,59160,"{2.238586902618408,2.1947431564331055,2.4297754764556885,2.4787709712982178}",サッカーの日本代表は14日午後6時55分から、トーナメント方式のキリンカップでチュニジアとの決勝に臨む。約2週間に及ぶ4連戦の締めくくり。ワールドカップ（W杯）カタール大会にも出場するチームに日本の力が試される。13日は両チームがオンラインでの公式記者会見を行った。日本代表の森保一監督は「人（の組み合わせ）という意味でチームのオプションを増やせるように。ガーナ戦からは（先発を）大幅に変えるが、また色々な融合がみられるのでは」と語った。右足を痛めたDF中山（ズウォレ）の起用は見合わせ、全体練習に合流して間もないDF冨安（アーセナル）についても「いきなり国際試合のプレー強度のなかでできるか、リスクがある」と慎重な考えを示した。国際サッカー連盟（FIFA）ランキング1位のブラジルとの戦いで得た肌感覚と教訓を「形にしていかないと」と吉田（サンプドリア）はいう。ベテラン川島（ストラスブール）は「差がつくのは小さいところ、勝敗を変えていくのは細かいところ」と話す。ここまでの3試合、失点は自陣でのイージーなミスから。ミスそのものより、ミスの前や後の一つ一つの状況における準備、判断、対応の細かな差が、勝敗を分かつ大きな差になると川島は戒める。「ミスのないゲームはない。1つ起きた後に、2つ目を起こさない、うまく（危険を）絶つなど、次にどう対応するか」チュニジアに派手さはないが、個々人の身体能力は高く、モダンな組織力も備える。日本の小さな緩みを突くのには実力十分。W杯本大会で基準とすべき細やかさを、守備でも攻撃でも表現しながら勝ちきりたい。
2022-06-13 18:15:32.126224,59161,"{1.8763624429702759,2.902503490447998,3.1587395668029785,1.9761301279067993}",13日の外国為替市場で円相場が一時、1ドル=135円台前半まで下落した。金融不安で「日本売り」に見舞われていた1998年以来、約24年ぶりの円安・ドル高水準に逆戻りした。円安を招く構図は当時と様変わりした。浮かび上がるのは産業競争力を底上げしてこなかった日本経済のもろさだ。円相場は対ドルで一時1ドル=135円22銭近辺まで下落した。今年の円の下落率は1割強に達し、世界の主要通貨で最も価値を下げ...
